date,DPCERX,DGDSRX,DDURRX,DNDGRX,DSERRX,DPCCRX,DFXARX,DNRGRX,DPCMRX,DPCXRX
2002-01-01,9004351.0,2908520.0,797865.0,2147432.0,6106607.0,7663002.0,739111.0,612888.0,7966110.0,6624851.0
2002-02-01,9040056.0,2930720.0,813108.0,2148877.0,6118509.0,7690409.0,739604.0,625029.0,8002148.0,6652441.0
2002-03-01,9038238.0,2922216.0,807360.0,2148278.0,6126426.0,7676882.0,741862.0,642611.0,8005192.0,6643672.0
2002-04-01,9086491.0,2947564.0,830086.0,2141545.0,6147966.0,7729733.0,736443.0,640401.0,8044995.0,6688150.0
2002-05-01,9051370.0,2906084.0,798335.0,2143767.0,6158973.0,7677411.0,743632.0,660548.0,8013919.0,6639996.0
2002-06-01,9081776.0,2932158.0,805089.0,2163677.0,6160935.0,7707768.0,745169.0,656295.0,8050074.0,6675725.0
2002-07-01,9141981.0,2967394.0,834211.0,2158468.0,6183653.0,7758988.0,747604.0,664357.0,8105585.0,6722148.0
2002-08-01,9155257.0,2983512.0,850741.0,2150959.0,6179080.0,7777673.0,744551.0,659013.0,8117674.0,6739613.0
2002-09-01,9112889.0,2943469.0,821528.0,2150365.0,6180347.0,7739267.0,742292.0,658115.0,8075683.0,6701772.0
2002-10-01,9150090.0,2946106.0,811189.0,2169764.0,6216145.0,7760972.0,747434.0,674113.0,8098323.0,6709343.0
2002-11-01,9176185.0,2970710.0,821381.0,2182393.0,6215352.0,7785450.0,753165.0,666329.0,8120756.0,6730156.0
2002-12-01,9236307.0,3012952.0,851046.0,2185023.0,6230178.0,7846573.0,753299.0,660813.0,8170527.0,6781001.0
2003-01-01,9235018.0,2994081.0,833150.0,2191010.0,6250024.0,7836393.0,757273.0,668956.0,8160685.0,6762566.0
2003-02-01,9205204.0,2970436.0,813440.0,2193892.0,6245575.0,7812555.0,757375.0,660690.0,8136239.0,6744005.0
2003-03-01,9258123.0,3014398.0,839319.0,2205121.0,6251051.0,7876454.0,757003.0,642727.0,8187175.0,6805712.0
2003-04-01,9301851.0,3040842.0,858074.0,2206831.0,6266878.0,7898971.0,758371.0,671390.0,8233866.0,6830943.0
2003-05-01,9331842.0,3047088.0,865116.0,2203104.0,6290971.0,7941651.0,752626.0,658157.0,8255475.0,6865361.0
2003-06-01,9381792.0,3086728.0,875628.0,2232867.0,6298915.0,7996041.0,757459.0,640846.0,8300603.0,6914855.0
2003-07-01,9424147.0,3107253.0,886509.0,2239982.0,6319995.0,8023952.0,765054.0,650779.0,8340790.0,6940524.0
2003-08-01,9507599.0,3173037.0,920350.0,2264596.0,6333763.0,8092608.0,769120.0,664308.0,8426944.0,7011455.0
2003-09-01,9479876.0,3152317.0,906951.0,2260901.0,6327892.0,8076187.0,768926.0,648448.0,8406997.0,7002648.0
2003-10-01,9495207.0,3147660.0,905884.0,2257200.0,6348833.0,8084666.0,767399.0,660460.0,8418846.0,7007702.0
