date,Total
1989-02-01,0
1989-03-01,0
1989-04-01,0
1989-05-01,8.88178e-16
1989-06-01,0.1
1989-07-01,0.1
1989-08-01,0.1
1989-09-01,0.1
1989-10-01,0.133333
1989-11-01,0.2
1989-12-01,0.233333
1990-01-01,0.266667
1990-02-01,0.233333
1990-03-01,0.166667
1990-04-01,0.166667
1990-05-01,0.1
1990-06-01,0.1
1990-07-01,0.133333
1990-08-01,0.233333
1990-09-01,0.433333
1990-10-01,0.533333
1990-11-01,0.7
1990-12-01,0.833333
1991-01-01,1
1991-02-01,1.13333
1991-03-01,1.3
1991-04-01,1.36667
1991-05-01,1.46667
1991-06-01,1.46667
1991-07-01,1.4
1991-08-01,1.16667
1991-09-01,1.03333
1991-10-01,0.933333
1991-11-01,0.833333
1991-12-01,0.8
1992-01-01,0.766667
1992-02-01,0.733333
1992-03-01,0.666667
1992-04-01,0.6
1992-05-01,0.633333
1992-06-01,0.733333
1992-07-01,0.833333
1992-08-01,0.833333
1992-09-01,0.7
1992-10-01,0.533333
1992-11-01,0.333333
1992-12-01,0.166667
1993-01-01,0.0333333
1993-02-01,0
1993-03-01,0
1993-04-01,0
1993-05-01,0
1993-06-01,0
1993-07-01,0
1993-08-01,0
1993-09-01,0
1993-10-01,0
1993-11-01,0
1993-12-01,0
1994-01-01,0
1994-02-01,0
1994-03-01,0
1994-04-01,0
1994-05-01,0
1994-06-01,0
1994-07-01,0
1994-08-01,0
1994-09-01,0
1994-10-01,0
1994-11-01,0
1994-12-01,0
1995-01-01,0
1995-02-01,0
1995-03-01,0
1995-04-01,0.0666667
1995-05-01,0.133333
1995-06-01,0.2
1995-07-01,0.166667
1995-08-01,0.2
1995-09-01,0.2
1995-10-01,0.133333
1995-11-01,0.1
1995-12-01,0.1
1996-01-01,0.133333
1996-02-01,0.1
1996-03-01,0
1996-04-01,1.77636e-15
1996-05-01,0.0333333
1996-06-01,0
1996-07-01,0
1996-08-01,0
1996-09-01,0
1996-10-01,0
1996-11-01,0.1
1996-12-01,0.166667
1997-01-01,0.2
1997-02-01,0.133333
1997-03-01,0.0666667
1997-04-01,0
1997-05-01,0
1997-06-01,0
1997-07-01,0
1997-08-01,0
1997-09-01,0
1997-10-01,0
1997-11-01,0
1997-12-01,0
1998-01-01,0
1998-02-01,0
1998-03-01,0
1998-04-01,0
1998-05-01,0
1998-06-01,0
1998-07-01,0.0666667
1998-08-01,0.1
1998-09-01,0.133333
1998-10-01,0.133333
1998-11-01,0.1
1998-12-01,0.0333333
1999-01-01,0
1999-02-01,0
1999-03-01,0
1999-04-01,8.88178e-16
1999-05-01,0
1999-06-01,0.0333333
1999-07-01,0.0333333
1999-08-01,0.0333333
1999-09-01,0
1999-10-01,0
1999-11-01,0
1999-12-01,0
2000-01-01,0
2000-02-01,0
2000-03-01,0
2000-04-01,0
2000-05-01,0
2000-06-01,0
2000-07-01,0.0666667
2000-08-01,0.1
2000-09-01,0.0666667
2000-10-01,0.0333333
2000-11-01,0
2000-12-01,0
2001-01-01,0.1
2001-02-01,0.2
2001-03-01,0.333333
2001-04-01,0.4
2001-05-01,0.433333
2001-06-01,0.5
2001-07-01,0.566667
2001-08-01,0.766667
2001-09-01,0.933333
2001-10-01,1.16667
2001-11-01,1.36667
2001-12-01,1.5
2002-01-01,1.53333
2002-02-01,1.46667
2002-03-01,1.4
2002-04-01,1.43333
2002-05-01,1.4
2002-06-01,1.36667
2002-07-01,1.13333
2002-08-01,0.933333
2002-09-01,0.666667
2002-10-01,0.433333
2002-11-01,0.266667
2002-12-01,0.233333
2003-01-01,0.2
2003-02-01,0.2
2003-03-01,0.166667
2003-04-01,0.233333
2003-05-01,0.3
2003-06-01,0.433333
2003-07-01,0.5
2003-08-01,0.5
2003-09-01,0.433333
2003-10-01,0.3
2003-11-01,0.1
2003-12-01,0
2004-01-01,0
2004-02-01,0
2004-03-01,0.0333333
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
