date,TOTAL,LABOR,A034RC,A132RC,B202RC,A038RC,B040RC,B039RC,A041RC,B042RC,A045RC,A048RC,W210RC,A064RC,B703RC,A577RC,A063RC,W823RC,W824RC,W729RC,W825RC,W826RC,W827RC,B931RC,A061RC,W055RC,A067RC,A068RC,DPCERC,B069RC,W211RC,W062RC,B070RC,A071RC,A072RC,W875RX,A067RX,A229RC,A229RX,B230RC,A067RCM,PF000969,A067RM,CAPITAL,TRANSFER
1988-01-01,4128213.0,2837948.0,2349396.0,1910333.0,439063.0,488553.0,310331.0,178222.0,316535.0,33649.0,282885.0,21079.0,815029.0,700488.0,114541.0,486757.0,467289.0,212100.0,83184.0,50496.0,13598.0,16632.0,91279.0,19468.0,-349135.0,505947.0,3622266.0,3336976.0,3213729.0,98450.0,24797.0,14075.0,10722.0,285291.0,7.9,6765863.0,6730208.0,14842.0,27576.0,244056.0,0.7,1.2,0.3,1152643.0,137622.0
1988-02-01,4152982.0,2858650.0,2367271.0,1925714.0,441557.0,491378.0,312077.0,179301.0,320167.0,33466.0,286701.0,21116.0,816950.0,700507.0,116443.0,487292.0,467685.0,211728.0,83388.0,50712.0,14001.0,16260.0,91596.0,19607.0,-351192.0,502078.0,3650904.0,3344988.0,3221419.0,98694.0,24875.0,14153.0,10722.0,305916.0,8.4,6800912.0,6773479.0,14950.0,27737.0,244205.0,0.8,0.2,0.6,1158233.0,136100.0
1988-03-01,4178303.0,2876081.0,2381881.0,1937299.0,444583.0,494200.0,314022.0,180178.0,320779.0,32793.0,287986.0,20956.0,817653.0,698920.0,118732.0,495738.0,476013.0,216624.0,83736.0,51396.0,14101.0,17892.0,92264.0,19725.0,-352904.0,498184.0,3680119.0,3384581.0,3260540.0,99088.0,24953.0,14231.0,10722.0,295538.0,8.0,6808795.0,6804273.0,15060.0,27845.0,244362.0,0.8,1.2,0.5,1159388.0,142834.0
1988-04-01,4209491.0,2905624.0,2407459.0,1960983.0,446476.0,498166.0,316154.0,182012.0,323878.0,30787.0,293091.0,20593.0,823501.0,702030.0,121471.0,492265.0,472333.0,214224.0,84360.0,51696.0,12969.0,16416.0,92668.0,19932.0,-356370.0,497433.0,3712059.0,3388011.0,3262972.0,99655.0,25384.0,14672.0,10712.0,324048.0,8.7,6839639.0,6830130.0,15181.0,27932.0,244528.0,0.9,0.1,0.4,1167972.0,135895.0
1988-05-01,4225876.0,2920595.0,2419249.0,1970756.0,448493.0,501346.0,318502.0,182844.0,319839.0,26339.0,293501.0,20268.0,829864.0,705738.0,124125.0,493272.0,473173.0,213036.0,84936.0,52224.0,13273.0,16872.0,92832.0,20099.0,-357963.0,496761.0,3729114.0,3419349.0,3293642.0,100237.0,25470.0,14758.0,10712.0,309765.0,8.3,6848080.0,6841678.0,15239.0,27959.0,244708.0,0.5,0.9,0.2,1169971.0,135309.0
1988-06-01,4258949.0,2943156.0,2437892.0,1987347.0,450545.0,505264.0,321025.0,184239.0,323781.0,25106.0,298674.0,19982.0,837579.0,710679.0,126900.0,495044.0,474745.0,213348.0,85572.0,52692.0,13274.0,16776.0,93083.0,20299.0,-360594.0,499222.0,3759727.0,3444949.0,3318535.0,100855.0,25559.0,14847.0,10712.0,314778.0,8.4,6876146.0,6868514.0,15351.0,28045.0,244914.0,0.8,0.7,0.4,1181342.0,134450.0
1988-07-01,4298819.0,2965983.0,2456478.0,2004542.0,451936.0,509504.0,323753.0,185751.0,331047.0,30483.0,300564.0,19738.0,848358.0,718838.0,129520.0,497163.0,476657.0,213996.0,86268.0,53196.0,12861.0,16620.0,93716.0,20506.0,-363469.0,504444.0,3794375.0,3469738.0,3342733.0,101507.0,25498.0,14971.0,10527.0,324637.0,8.6,6911475.0,6898238.0,15479.0,28141.0,245131.0,0.9,0.7,0.4,1199143.0,133694.0
1988-08-01,4322950.0,2970262.0,2457760.0,2003664.0,454096.0,512502.0,326690.0,185812.0,336260.0,30380.0,305880.0,20778.0,859483.0,726962.0,132521.0,499918.0,479165.0,214344.0,87024.0,53616.0,13772.0,16644.0,93765.0,20753.0,-363751.0,506185.0,3816766.0,3495704.0,3367972.0,102136.0,25596.0,15069.0,10527.0,321062.0,8.4,6929765.0,6918406.0,15556.0,28198.0,245352.0,0.6,0.7,0.3,1216521.0,136167.0
1988-09-01,4352522.0,2991277.0,2474325.0,2016800.0,457524.0,516953.0,329849.0,187104.0,333482.0,25430.0,308051.0,23095.0,869203.0,734342.0,134861.0,501752.0,480725.0,214128.0,87852.0,54216.0,13063.0,16908.0,94558.0,21027.0,-366288.0,509374.0,3843148.0,3503429.0,3374992.0,102737.0,25700.0,15173.0,10527.0,339719.0,8.8,6946179.0,6932430.0,15649.0,28229.0,245579.0,0.7,0.2,0.2,1225780.0,135464.0
1988-10-01,4391062.0,3027856.0,2505083.0,2044573.0,460510.0,522773.0,333206.0,189567.0,325734.0,17312.0,308423.0,26685.0,877884.0,740637.0,137247.0,503900.0,482497.0,214404.0,88608.0,54816.0,12773.0,16752.0,95144.0,21403.0,-370998.0,514595.0,3876467.0,3543166.0,3413661.0,103041.0,26464.0,15267.0,11197.0,333301.0,8.6,6989091.0,6969862.0,15772.0,28357.0,245789.0,0.9,1.1,0.5,1230303.0,132902.0
